No,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,VC,DS,必須スキル
73,8,データエンジニアリング,データ蓄積,クラウド,★,クラウド上のオブジェクトストレージサービス（Amazon S3、Azure Blob Storage、Google Cloud Storage、IBM Cloud Object Storageなど）に接続しデータを格納できる,,,◯
74,9,データエンジニアリング,データ蓄積,クラウド,★★,クラウド上のDWHサービス（Amazon Redshift、Google BigQuery、IBM Db2 Warehouse、Microsoft Fabric Synapse Data Warehouse等）にロードして分析で利用できる,,,
75,10,データエンジニアリング,データ蓄積,クラウド,★★★,クラウド上のデータストアサービスが対象システムの機能要件・非機能要件に合致するか評価を行い、採用可否を判断できる,,,
76,11,データエンジニアリング,データ蓄積,リアルタイム処理,★★★,リアルタイムに入力されるストリームデータから指定条件のイベントを即時に抽出する複合イベント処理（CEP）を実現するサーバー環境・構成を設計できる,,,
77,12,データエンジニアリング,データ蓄積,リアルタイム処理,★★★,Apache Kafka 、Apache Flinkなどのストリーム処理プラットフォームを活用して、入力データをリアルタイムに処理して連携できる,,,
78,13,データエンジニアリング,データ蓄積,リアルタイム処理,★★★,適切なライブラリや実行環境を選択して、ストリーム処理やイベント駆動アプリケーションを実装できる,,,
79,14,データエンジニアリング,データ蓄積,キャッシュ技術,★★★,基盤設計において、どこのシステム要素にRedisやmemcachedなどのキャッシュ機能を採用すると処理が高速化されるか判断できる,,,
80,15,データエンジニアリング,データ蓄積,データ蓄積技術,★,データマートやDWHなどの集中型データ基盤と、データファブリックやデータメッシュなどの分散型データ基盤の設計思想の違いを理解し、ユースケースや組織構造に応じて適切に選択できる,,,
81,16,データエンジニアリング,データ蓄積,データ蓄積技術,★★,データストア選定の際にリレーショナルDBだけでなく、要件に応じてNoSQL、時系列DB、グラフDB、ベクトルDBなどの適切なデータ蓄積機能を選定できる,,,
82,17,データエンジニアリング,データ蓄積,データ蓄積技術,★★,データカタログやデータリネージ管理ソリューションを活用して、分析データのメタデータや由来、履歴を一元的に管理し、データ可視化とガバナンス強化を実現できる,,,
83,18,データエンジニアリング,データ蓄積,データ蓄積技術,★★★,ベクトルDBにおいて、適切なインデックス構造の選択、パラメータチューニング、データの次元削減、ベクトル正規化技術に加え、元文書の品質管理や整備などのデータマネジメントなどを利用し、パフォーマンスを最適化できる,,＊,
84,19,データエンジニアリング,データ蓄積,検索技術,★★,Apache Solr、Elasticsearch、OpenSearchなどを用いて、全文検索によるテキストキーワード検索用のDBを構築することができる,,,
85,1,データエンジニアリング,データ加工,フィルタリング処理,★,表計算ソフトを用いて、フィルタ・ソート・欠損補完・ランダム抽出・集計・演算や、データ変換（数値データの日時データ化や都道府県名からのジオコード変換など）といった基本的なデータ加工処理ができる,,,◯
86,2,データエンジニアリング,データ加工,フィルタリング処理,★,正規表現を活用して条件に合致するデータを抽出できる（メールアドレスの書式を満たしているか判定をするなど）,,,
87,3,データエンジニアリング,データ加工,結合処理,★,表計算ソフトのデータファイルに対して、単一条件による内部結合、外部結合、自己結合ができ、UNION処理ができる,,,◯
88,4,データエンジニアリング,データ加工,前処理,★★,フラットファイルやバイナリファイルに対するデータロードの前処理（クレンジング操作、禁則処理やバイナリ処理）ができる,,,
89,5,データエンジニアリング,データ加工,前処理,★★,線形補間など、複数のレコードを考慮したクレンジング処理ができる,,,
90,6,データエンジニアリング,データ加工,マッピング処理,★★,データ定義や実際の観測データの状況をもとに、一般的な名寄せ処理を設計・実装できる,,,
91,7,データエンジニアリング,データ加工,変換・演算処理,★,変換元データと変換先データの文字コードが異なる場合、変換処理のコードがかける,,,
92,8,データエンジニアリング,データ加工,変換・演算処理,★★,数十億レコードの大容量データに対して効率的な処理を行うために、Parquetなどのカラムナ（列指向）ストレージ形式のファイルに変換してデータを管理できる,,,
93,9,データエンジニアリング,データ加工,変換・演算処理,★★,手書き文字や画像などの非構造データを、OCRや画像認識ライブラリ、画像認識モデルなどの変換・処理プログラムを用いて分析可能な構造化データに変換できる,,＊,
94,1,データエンジニアリング,データ共有,データ出力,★,加工・分析処理結果をCSV、XML、JSON、Excelなどの指定フォーマット形式に変換してエクスポートできる,,,◯
95,2,データエンジニアリング,データ共有,データ出力,★,加工・分析処理結果を、接続先DBのテーブル仕様に合わせてレコード挿入できる,,,◯
96,3,データエンジニアリング,データ共有,データ展開,★,RESTなどのデータ取得用Web APIを用いて、必要なデータを取得できる,,,
97,4,データエンジニアリング,データ共有,データ展開,★★,利用者の要件に合致したレポート（図、表）を、PDFなどの印刷用フォーマットで出力する変換機能を設計できる,,,
98,5,データエンジニアリング,データ共有,データ展開,★★,BIツール用のサーバーを構築し、単一データソースのレポート用データマートを設計・構築できる,,,
99,6,データエンジニアリング,データ共有,データ展開,★★,データストア上のデータをメールやメッセージを用いてプッシュ配信するシステムのサーバー・ネットワーク・ソフトウェアの構成を設計できる,,,
100,7,データエンジニアリング,データ共有,データ展開,★★,Webアプリケーションの実装において、WebSocketを用いてクライアント側にリアルタイムにデータ提供できる機能を設計できる,,,
101,8,データエンジニアリング,データ共有,データ展開,★★,RSSや業界標準フォーマットなど、要件に合致したデータ形式・配信形式で情報提供するシステムのインターフェースを設計できる,,,
102,9,データエンジニアリング,データ共有,データ展開,★★,RESTなどのWeb APIを用いて、必要なデータを提供するシステムの公開インターフェースを設計できる,,,
103,10,データエンジニアリング,データ共有,データ連携,★,SFTPサーバー、ファイル共有サーバーなどから必要なデータファイルをダウンロードして、Excelなどの表計算ソフトに取り込み活用できる,,,◯
104,11,データエンジニアリング,データ共有,データ連携,★,BIツールからデータベース上のDBテーブルを参照して新規レポートやダッシュボードを作成し、指定のユーザグループに公開できる,＊,＊,
105,12,データエンジニアリング,データ共有,データ連携,★,BIツールの自由検索機能を活用し、必要なデータを抽出して、グラフを作成できる,＊,＊,
106,13,データエンジニアリング,データ共有,データ連携,★★,連携対象システムの仕様に合わせて、ETLツールなどを用いてデータ変換、ファイル転送処理を実装できる,,,
107,14,データエンジニアリング,データ共有,データ連携,★★,データクリーンルームを活用し、複数の組織や部門間において、個人情報や機密データを保護しながら、安全かつ適切にデータの分析および共有を行うことができる,,,
108,15,データエンジニアリング,データ共有,データ連携,★★★,他データや他システム連携を容易にする目的で、適切なオープンデータ系の標準フォーマット（IMI：Infrastructure for Multilayer Interoperability[情報共有基盤]に記載のデータモデルや、GTFS：General Transit Feed Specificationなど）を用いて、データモデルを設定できる,,,
109,16,データエンジニアリング,データ共有,データ連携,★★★,ESBやAPI Gatewayなどのデータ連携サービスを活用してシステム間のデータ連携（データ配信・交換）を行うインターフェースを設計できる,,,
110,1,ITエンジニアリング,プログラミング,基礎プログラミング,★,小規模な構造化データ（CSV、RDBなど）を扱うデータ処理（抽出・加工・分析など）を、設計書に基づき、プログラム実装できる,,,◯
111,2,ITエンジニアリング,プログラミング,基礎プログラミング,★,プログラム言語や環境によって、変数のデータ型ごとに確保するメモリサイズや自動型変換の仕様が異なることを理解し、プログラムの設計・実装ができる,,,
112,3,ITエンジニアリング,プログラミング,基礎プログラミング,★,データ処理プログラミングのため分岐や繰り返しを含んだフローチャートを作成できる,,,◯
113,4,ITエンジニアリング,プログラミング,基礎プログラミング,★,オブジェクト指向言語の基本概念を理解し、スーパークラス（親クラス）を継承して、スーパークラスのプロパティやメソッドを適切に活用できる,,,
114,5,ITエンジニアリング,プログラミング,基礎プログラミング,★,ホワイトボックステストとブラックボックステストの違いを理解し、テストケースの作成とテストを実施できる,,,◯
